Kanji,Reading,Definition,Sentence,Translation,tags
割れる,われる,"crack, be divided, split",コップが落ちて割れた。,The glass fell and broke.,920-929 Verb
割り算,わりざん,division,割り算は小学校で習います。,Division is learned in elementary school.,920-929 Verbal Noun
残る,のこる,"remain, be left over",料理がたくさん残りました。,A lot of food was left over.,920-929 Verb
こちら,こちら,"here, this way",受付はこちらです。,The reception desk is this way.,920-929 Noun
残す,のこす,to leave (behind); to reserve,彼女はメッセージを残しました。,She left a message.,920-929 Verb
返す,かえす,"return, repay",図書館に本を返した。,I returned the book to the library.,920-929 Verb
返事,へんじ,"answer, reply",手紙の返事を出しました。,I sent a reply to the letter.,920-929 Verbal Noun
借りる,かりる,borrow,彼にビデオを借りました。,I borrowed a video from him.,930-939 Verb
ボタン,ボタン,button,ボタンを押してください。,Please press the button.,930-939 Noun
貸す,かす,"lend, lease",私は彼に本を貸しています。,I'm lending him the book.,930-939 Verb
貸し出す,かしだす,"lend, lend out",その本は貸し出し中です。,That book is currently on loan.,930-939 Verb
申し込む,もうしこむ,"apply, make a proposal",彼女はそのセミナーに申し込んだ。,She registered for that workshop.,930-939 Verb
期待,きたい,"expectation, anticipation",みんな私たちに期待しています。,Everyone has high expectations of us.,930-939 Verbal Noun
おかしい,おかしい,"funny, amusing, comical",彼の話はおかしかった。,His story was funny.,930-939 Adjective
期間,きかん,"period, term",テスト期間は10日から15日までだ。,The test period is from the 10th to the 15th.,930-939 Noun
時期,じき,"time, season",今はあなたにとって大事な時期です。,It's an important time for you now.,930-939 Noun
限る,かぎる,"to limit, to be limited to",このサービスは週末に限ります,This service is limited to weekends.,930-939 Verb
急ぐ,いそぐ,"hurry, hasten",私たちは駅へ急ぎました。,We hurried to the station.,940-949 Verb
コート,コート,court,新しいコートでテニスをしました。,I played tennis on the new court.,940-949 Noun
急に,きゅうに,"suddenly, unexpectedly",急に用事を思い出した。,I suddenly remembered I have something to do.,940-949 Adverb
急,きゅう,"urgent, dire, pressing",急な坂道を上った。,I went up the steep hill.,940-949 Adjectival Noun
急行,きゅうこう,"express train, going in a hurry",ちょうど急行電車が来た。,The express train just came.,940-949 Noun
切れる,きれる,"run out, expire, can cut",このはさみはよく切れますね。,These scissors cut well.,940-949 Verb
ドラマ,ドラマ,"drama, theater, soap opera",私はドラマを見るのが好きです。,I like to watch TV dramas.,940-949 Noun
切手,きって,postage stamp,郵便局で切手を買いました。,I bought a stamp at the post office.,940-949 Noun
売り切れる,うりきれる,"be sold out, go out of stock",その本は直ぐ売り切れた。,The book sold out quickly.,940-949 Verb
売り切れ,うりきれ,"sellout, sold out",チケットはもう売り切れだって。,The tickets have sold out already.,940-949 Noun
大切,たいせつ,"important, valuable",これは母が大切にしていた指輪です。,This is a ring that meant a lot to my mother.,950-959 Adjectival Noun
ビザ,ビザ,visa,学生ビザを持っています。,He has a student visa.,950-959 Noun
切符,きっぷ,ticket,東京までの切符を買った。,I bought a ticket to Tokyo.,950-959 Noun
入場券,にゅうじょうけん,entrance ticket,入場券は3000円です。,"The admission ticket is 3,000 yen.",950-959 Noun
家賃,やちん,rent,ここの家賃は12万円です。,"The rent here is 120,000 yen.",950-959 Noun
時代,じだい,"era, antiquity",今は便利さとスピードの時代だ。,This is the age of convenience and speed.,950-959 Noun
ポケット,ポケット,pocket,財布をポケットにしまった。,I put my wallet in my pocket.,950-959 Noun
代わる,かわる,"substitute, be substituted for",上司に代わって会議に出た。,I attended the conference in place of my boss.,950-959 Verb
代える,かえる,"substitute, use in place of",社長に代えて部長を出席させます。,I'll have the department manager attend in place of the president.,950-959 Verb
指,ゆび,"finger, toe",彼は指が太い。,His fingers are fat.,950-959 Noun
決定,けってい,"decision, settlement",会議で重要な決定がありました。,An important decision was made at the conference.,960-969 Verbal Noun
そろそろ,そろそろ,"soon, quietly",そろそろ始めましょうか。,It's about time to begin.,960-969 Adverb
一定,いってい,"constant, standardized",申し込むには一定の資格が要る。,You need certain qualifications to apply.,960-969 Verbal Noun
定期券,ていきけん,commuter's pass,定期券は1万2千円でした。,"The commuter pass was 1,2000 yen.",960-969 Noun
予定,よてい,"schedule, plan",今日の予定を教えてください。,Please tell me what your schedule is for today.,960-969 Verbal Noun
天気予報,てんきよほう,weather forecast,明日の天気予報は雨です。,Rain is forecast for tomorrow.,960-969 Noun
ぶどう,ぶどう,grapes,私はぶどうが好きです。,I like grapes.,960-969 Noun
予習,よしゅう,preparation for a lesson,明日の予習をしましょう。,Let's prepare for tomorrow.,960-969 Verbal Noun
予約,よやく,"reservation, subscription",レストランを予約しました。,I made a reservation at the restaurant.,960-969 Verbal Noun
約束,やくそく,"promise, vow",約束は守ります。,I keep my promises.,960-969 Verbal Noun
変わる,かわる,change,信号が青に変わりました。,The traffic light turned green.,970-979 Verb
めったに,めったに,rarely,彼女はめったに怒りません。,She rarely gets angry.,970-979 Adverb
大変,たいへん,"awful, serious",大変なことが起こりました。,A terrible thing happened.,970-979 Adjectival Noun
変,へん,"strange, weird, funny",変な音が聞こえます。,I hear a strange sound.,970-979 Adjectival Noun
変化,へんか,change,今年は変化の多い年でした。,There was a lot of change this year.,970-979 Verbal Noun
強化,きょうか,strengthening,国は国語教育を強化しています。,Our government is strengthening its program in native language education.,970-979 Verbal Noun
クリスマス,クリスマス,Christmas,クリスマスにはケーキを食べます。,We eat cake at Christmas.,970-979 Noun
文化,ぶんか,culture,私はこの国の文化を勉強しています。,I'm studying this country's culture.,970-979 Noun
増える,ふえる,"increase, accrue",この町は人口が増えた。,The population has increased in this town.,970-979 Verb
増やす,ふやす,"increase, add",あの町は緑を増やしています。,That town is increasing its greenery.,970-979 Verb
減る,へる,"decrease, diminish",体重がかなり減りました。,I've lost a lot of weight.,980-989 Verb
ネクタイ,ネクタイ,"tie, necktie",父の日にネクタイをプレゼントした。,I gave him a tie on Father's Day.,980-989 Noun
減らす,へらす,"decrease, reduce",最近、食事を減らしています。,I've been eating less recently.,980-989 Verb
乗り物,のりもの,vehicle,自転車は便利な乗り物です。,Bicycles are a convenient form of transport.,980-989 Noun
降りる,おりる,"get off, descend",次の駅で降ります。,I get off at the next station.,980-989 Verb
降ろす,おろす,"unload, set down (下ろす)",彼は車から荷物を降ろした。,He unloaded the luggage from the car.,980-989 Verb
バイオリン,バイオリン,violin,彼女はバイオリンを習っています。,She's learning the violin.,980-989 Noun
降る,ふる,"fall, come down",激しい雨が降っています。,A very heavy rain is falling.,980-989 Verb
着く,つく,arrive,午後8時に大阪に着きます。,I arrive in Osaka at 8:00 pm.,980-989 Verb
着物,きもの,"clothes, kimono",彼女は着物がよく似合います。,She looks good in a kimono.,980-989 Noun
下着,したぎ,underwear,私は下着を手で洗う。,I wash my underwear by hand.,990-999 Noun
パスポート,パスポート,passport,パスポートが見つからない。,I can't find my passport.,990-999 Noun
上着,うわぎ,"coat, jacket",暑いので上着を脱ぎました。,I took my jacket off because it was hot.,990-999 Noun
着せる,きせる,to put clothes on (someone),娘に可愛いドレスを着せた。,I dressed my daughter in a cute dress.,990-999 Verb
脱ぐ,ぬぐ,"remove clothes, take off",靴を脱いでください。,Please take off your shoes.,990-999 Verb
立場,たちば,"standpoint, position",彼女は自分の立場を分かっていない。,She doesn't understand her position.,990-999 Noun
バッグ,バッグ,bag,私は黒いバッグを持っています。,I have a black bag.,990-999 Noun
目立つ,めだつ,"stand out, be conspicuous",彼女の大きな帽子はとても目立つ。,Her big hat really stands out.,990-999 Verb
立てる,たてる,"stand, set up, establish",彼はケーキにろうそくを立てた。,He stuck the candles into the cake.,990-999 Verb
役に立つ,やくにたつ,"be useful, be helpful",私は人々の役に立ちたいと思っています。,I want to be of service to others.,990-999 Verb
出席,しゅっせき,"attendance, presence",午後は会議に出席します。,I'll attend a meeting in the afternoon.,1000-1009 Verbal Noun
