Kanji,Reading,Definition,Sentence,Translation,tags
立つ,たつ,"stand, rise",彼はステージに立った。,He stood on stage.,250-259 Verb
座る,すわる,"sit, sit down",私は窓側の席に座った。,I sat in a window seat.,250-259 Verb
次,つぎ,next,次はいつ会いましょうか。,When shall we meet again?,250-259 Noun
しゃべる,しゃべる,"chat, talk",彼女はよくしゃべるね。,"She really likes to chat, doesn't she?",260-269 Verb
動く,うごく,move,動かないで。,Freeze!,260-269 Verb
働く,はたらく,work,姉は銀行で働いています。,My big sister works at a bank.,260-269 Verb
早い,はやい,early,まだ学校へ行くには早い時間です。,It's still too early to go to school.,260-269 Adjective
速い,はやい,fast,彼は走るのが速い。,He runs fast.,260-269 Adjective
遅い,おそい,"slow, late",前の車はとても遅い。,The car in front is very slow.,260-269 Adjective
始める,はじめる,"begin, start",テストを始めてください。,Please start the test.,260-269 Verb
始まる,はじまる,begin,新しい仕事が始まりました。,My new job started.,260-269 Verb
終わる,おわる,"finish, end",会議は4時に終わります。,The conference ends at four o'clock.,260-269 Verb
終わり,おわり,"end, conclusion",夏休みももう終わりだ。,Summer vacation's already over.,260-269 Noun
テーブル,テーブル,table,新しいテーブルを買いました。,I bought a new table.,270-279 Noun
去年,きょねん,last year,私は去年フランスへ行った。,I went to France last year.,270-279 Noun
紙,かみ,paper,紙と鉛筆はありますか。,Do you have paper and pencil?,270-279 Noun
楽しむ,たのしむ,enjoy,今日は一人の時間を楽しみたい。,Today I would like to enjoy some time to myself.,270-279 Verb
楽しい,たのしい,"fun, enjoyable",彼はとても楽しい人です。,He's very fun to be with.,270-279 Adjective
歌う,うたう,sing,私たちは大きな声で歌いました。,We sang loudly.,270-279 Verb
欲しい,ほしい,"want, desire",僕は新しい靴が欲しいです。,I want new shoes.,270-279 Adjective
色,いろ,color,すてきな色のセーターですね。,That sweater is a wonderful color.,270-279 Noun
茶色,ちゃいろ,light brown,彼女は茶色の靴を履いています。,She's wearing brown shoes.,270-279 Noun
直ぐ,すぐ,"at once, soon",直ぐ行きます。,I'll go right away.,270-279 Adverb
ゲーム,ゲーム,game,私たちはビデオゲームをした。,We played a video game.,280-289 Noun
書き直す,かきなおす,rewrite,この書類を書き直してください。,Please rewrite this document.,280-289 Verb
直る,なおる,"be repaired, return to normal",クーラーはまだ直りません。,The air conditioner hasn't been repaired yet.,280-289 Verb
線,せん,line,赤い線を2本引いて下さい。,Please draw two red lines.,280-289 Noun
曲がる,まがる,turn,そこを左に曲がってください。,Please turn left there.,280-289 Verb
同じ,おなじ,"same, identical",彼の日本語のレベルは私と同じ位だ。,His Japanese level is about the same as mine.,280-289 Adjectival Noun
違う,ちがう,"differ, be wrong",答えが違います。,That's the wrong answer.,280-289 Verb
図書館,としょかん,library,図書館で料理の本を借りた。,I borrowed a cookbook from the library.,280-289 Noun
泊まる,とまる,stay overnight,今日はこのホテルに泊まります。,I'm staying at this hotel today.,280-289 Verb
遊ぶ,あそぶ,play,子供たちが公園で遊んでいる。,The children are playing in the park.,280-289 Verb
どうして,どうして,why,どうして泣いているの。,Why are you crying?,290-299 Adverb
服,ふく,clothes,昨日、新しい服を買った。,I bought some new clothes yesterday.,290-299 Noun
お父さん,おとうさん,father,お父さんは会社員です。,My father's a company employee.,290-299 Noun
父,ちち,(speaker's)father,私は父が大好きです。,I love my father.,290-299 Noun
お母さん,おかあさん,mother,お母さんによろしくお伝えください。,Please give my best to your mother.,290-299 Noun
母,はは,(speaker's)mother,昨日、母と話をしました。,I talked to my mother yesterday.,290-299 Noun
親,おや,parent,親の愛は有り難い。,We're grateful for our parents' love.,290-299 Noun
姉,あね,older sister,姉は大学生です。,My big sister's a college student.,290-299 Noun
